"CRASH_ID","UNIT_NBR","PRSN_NBR","PRSN_TYPE_ID","PRSN_OCCPNT_POS_ID","PRSN_INJRY_SEV_ID","PRSN_AGE","PRSN_ETHNICITY_ID","PRSN_GNDR_ID","PRSN_EJCT_ID","PRSN_REST_ID","PRSN_AIRBAG_ID","PRSN_HELMET_ID","PRSN_SOL_FL","PRSN_ALC_SPEC_TYPE_ID","PRSN_ALC_RSLT_ID","PRSN_BAC_TEST_RSLT","PRSN_DRG_SPEC_TYPE_ID","PRSN_DRG_RSLT_ID","DRVR_DRG_CAT_1_ID","PRSN_DEATH_TIME","INCAP_INJRY_CNT","NONINCAP_INJRY_CNT","POSS_INJRY_CNT","NON_INJRY_CNT","UNKN_INJRY_CNT","TOT_INJRY_CNT","DEATH_CNT","DRVR_LIC_TYPE_ID","DRVR_LIC_STATE_ID","DRVR_LIC_CLS_ID","DRVR_ZIP"
14768622,1,1,"DRIVER","FRONT LEFT","NOT INJURED",27,"HISPANIC","MALE","NO","NONE","DEPLOYED MULTIPLE","NOT APPLICABLE","N","BLOOD","Positive",0.225,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77357"
14838637,1,1,"DRIVER","FRONT LEFT","NOT INJURED",31,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BREATH","Positive",0.21,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","New York","OTHER/OUT OF STATE","13830"
14838637,2,1,"DRIVER","FRONT LEFT","NOT INJURED",41,"BLACK","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"COMMERCIAL DRIVER LIC.","Texas","CLASS A","78934"
14838641,1,1,"DRIVER","FRONT LEFT","POSSIBLE INJURY",32,"WHITE","MALE","NO","SHOULDER & LAP BELT","DEPLOYED MULTIPLE","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,1,0,0,1,0,"DRIVER LICENSE","Texas","CLASS C","76520"
14838641,2,1,"DRIVER","FRONT LEFT","NON-INCAPACITATING INJURY",34,"BLACK","FEMALE","NO","SHOULDER & LAP BELT","DEPLOYED MULTIPLE","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,1,0,0,0,1,0,"ID CARD","Texas","UNLICENSED","76707"
14838668,1,1,"DRIVER","FRONT LEFT","NOT INJURED",24,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","DEPLOYED, FRONT","NOT APPLICABLE","N","BREATH","Positive",0.178,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78076"
14838669,1,1,"DRIVER","FRONT LEFT","NOT INJURED",53,"WHITE","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","76053"
14838669,2,1,"DRIVER","FRONT LEFT","NOT INJURED",24,"WHITE","MALE","NO","UNKNOWN","DEPLOYED, FRONT","NOT APPLICABLE","N","BREATH","Positive",0.219,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","76118"
14838670,1,1,"DRIVER","FRONT LEFT","NOT INJURED",23,"WHITE","MALE","NO","NONE","NOT DEPLOYED","NOT APPLICABLE","N","BLOOD","Positive",0.16,"BLOOD","UNKNOWN","UNKNOWN","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","75050"
14838685,1,1,"DRIVER","FRONT LEFT","NOT INJURED",27,"BLACK","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"ID CARD","Texas","UNLICENSED","77033"
14838693,1,1,"DRIVER","FRONT LEFT","NOT INJURED",52,"HISPANIC","MALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BREATH","Positive",0.193,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","78564"
14838768,1,1,"DRIVER","FRONT LEFT","NOT INJURED",20,"ASIAN","MALE","NO","SHOULDER & LAP BELT","DEPLOYED MULTIPLE","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","California","OTHER/OUT OF STATE","77090"
14838768,2,1,"DRIVER","FRONT LEFT","NOT INJURED",55,"HISPANIC","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","BLOOD","Negative",0,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","77080"
14838834,1,1,"DRIVER","FRONT LEFT","NOT INJURED",20,"HISPANIC","MALE","NO","UNKNOWN","DEPLOYED, FRONT","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"UNKNOWN","Unknown","UNKNOWN","79107"
14838841,1,1,"DRIVER","FRONT LEFT","NOT INJURED",25,"HISPANIC","FEMALE","UNKNOWN","UNKNOWN","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","79412"
14838842,1,1,"DRIVER","FRONT LEFT","NOT INJURED",41,"HISPANIC","FEMALE","NO","UNKNOWN","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","79403"
14838842,2,1,"DRIVER","FRONT LEFT","NOT INJURED",34,"HISPANIC","FEMALE","NO","SHOULDER & LAP BELT","NOT DEPLOYED","NOT APPLICABLE","N","NONE",NA,NA,"NONE","NOT APPLICABLE","NOT APPLICABLE","",0,0,0,1,0,0,0,"DRIVER LICENSE","Texas","CLASS C","79401"
