CRASH_ID,UNIT_NBR,UNIT_DESC_ID,VEH_PARKED_FL,VEH_HNR_FL,VEH_LIC_STATE_ID,VIN,VEH_MOD_YEAR,VEH_COLOR_ID,VEH_MAKE_ID,VEH_MOD_ID,VEH_BODY_STYL_ID,EMER_RESPNDR_FL,OWNR_ZIP,FIN_RESP_PROOF_ID,FIN_RESP_TYPE_ID,VEH_DMAG_AREA_1_ID,VEH_DMAG_SCL_1_ID,FORCE_DIR_1_ID,VEH_DMAG_AREA_2_ID,VEH_DMAG_SCL_2_ID,FORCE_DIR_2_ID,VEH_INVENTORIED_FL,VEH_TRANSP_NAME,VEH_TRANSP_DEST,CONTRIB_FACTR_1_ID,CONTRIB_FACTR_2_ID,CONTRIB_FACTR_P1_ID,VEH_TRVL_DIR_ID,FIRST_HARM_EVT_INV_ID,INCAP_INJRY_CNT,NONINCAP_INJRY_CNT,POSS_INJRY_CNT,NON_INJRY_CNT,UNKN_INJRY_CNT,TOT_INJRY_CNT,DEATH_CNT
14768622,1,MOTOR VEHICLE,N,N,TX,4S2CK57D1X4381118,1999,GRY,ISUZU,AMIGO,"PASSENGER CAR, 4-DOOR",Y,77357,2,NA,FRONT END DAMAGE CONCENTRATED IMPACT,DAMAGED 3,1,LEFT SIDE AND TOP DAMAGE ROLLOVER EFFECTS,DAMAGED 4,3,Y,VALENTIN TOWING,"20288 FM 1314 PORTER, TX",UNDER INFLUENCE - ALCOHOL,NA,NA,EAST,Y,0,0,0,1,0,0,0
14838637,1,MOTOR VEHICLE,N,N,TX,WVWAN7AN6DE536582,NA,GRY,VOLKSWAGEN,CC,"PASSENGER CAR, 4-DOOR",N,13830,1,PROOF OF LIABILITY INSURANCE,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 3,12,NA,NA,NA,N,A-1 TOWING,4710 ELLEN TROUT,HAD BEEN DRINKING,NA,NA,SOUTH,Y,0,0,0,1,0,0,0
14838637,2,MOTOR VEHICLE,N,N,TX,1FUJA6CG24LM14889,2004,RED,FREIGHTLINER,NA,TRUCK,N,78934,1,PROOF OF LIABILITY INSURANCE,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,3,NA,NA,NA,N,DRIVEN AWAY,BY DRIVER,NONE,NA,NA,SOUTH,Y,0,0,0,1,0,0,0
14838637,2,MOTOR VEHICLE,N,N,TX,1FUJA6CG24LM14889,2004,RED,FREIGHTLINER,NA,TRUCK,N,78934,1,PROOF OF LIABILITY INSURANCE,RIGHT SIDE DAMAGE ANGULAR IMPACT,DAMAGED 2,3,NA,NA,NA,N,DRIVEN AWAY,BY DRIVER,NONE,NA,NA,SOUTH,Y,0,0,0,1,0,0,0
14838637,3,TOWED/TRAILER,,,NA,,NA,NA,NA,NA,NA,,78934,NA,NA,NA,NA,NA,NA,NA,NA,,,,NONE,NA,NA,NOT APPLICABLE,N,0,0,0,0,0,0,0
14838641,1,MOTOR VEHICLE,N,N,TX,JHMFA15896S005043,2006,GRY,HONDA,CIVIC,"PASSENGER CAR, 4-DOOR",N,76520,1,PROOF OF LIABILITY INSURANCE,FRONT END (RIGHT)  DAMAGE PARTIAL CONTACT,DAMAGED 3,1,NA,NA,NA,N,TOW KING,7191 BAGBY,DISREGARD STOP AND GO SIGNAL,DRIVER INATTENTION,NA,NORTHWEST,Y,0,0,1,0,0,1,0
14838641,2,MOTOR VEHICLE,N,N,TX,1GNEC13R8YR146867,2000,BLK,CHEVROLET,TAHOE,SPORT UTILITY VEHICLE,N,76707,1,PROOF OF LIABILITY INSURANCE,LEFT SIDE AND TOP DAMAGE ROLLOVER EFFECTS,DAMAGED 3,9,NA,NA,NA,N,TOW KING,7191 BAGBY,NONE,NA,NA,SOUTHWEST,Y,0,1,0,0,0,1,0
14838668,1,MOTOR VEHICLE,N,N,TX,JM1BK32F791214223,NA,BLK,MAZDA,NA,"PASSENGER CAR, 4-DOOR",N,78076,2,NA,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 4,12,NA,NA,NA,Y,GARCIA'S TOWING,"203 2ND ST, ZAPATA, TX 78076",UNDER INFLUENCE - ALCOHOL,FAILED TO DRIVE IN SINGLE LANE,NA,NORTHWEST,Y,0,0,0,1,0,0,0
14838669,1,MOTOR VEHICLE,N,N,TX,1GCEC14X89Z178483,NA,WHI,CHEVROLET,SILVERADO C1500,PICKUP,N,76053,1,LIABILITY INSURANCE POLICY,BACK END DAMAGE DISTRIBUTED IMPACT,DAMAGED 2,6,NA,NA,NA,N,DRIVEN AWAY,BY DRIVER,NONE,NA,NA,WEST,Y,0,0,0,1,0,0,0
14838669,2,MOTOR VEHICLE,N,N,TX,JM1BL1SF9A1147727,NA,BLK,MAZDA,NA,"PASSENGER CAR, 4-DOOR",N,76118,1,LIABILITY INSURANCE POLICY,FRONT END DAMAGE DISTRIBUTED IMPACT,DAMAGED 3,12,NA,NA,NA,Y,EULESS B & B WRECKER SERVICE,"1201 W EULESS BLVD., EULESS, TEXAS 76040",FAILED TO CONTROL SPEED,UNDER INFLUENCE - ALCOHOL,NA,WEST,Y,0,0,0,1,0,0,0
14838670,1,MOTOR VEHICLE,N,N,TX,1J4GL58K53W701914,2003,SIL,JEEP,LIBERTY,SPORT UTILITY VEHICLE,N,75050,1,PROOF OF LIABILITY INSURANCE,FRONT END (RIGHT)  DAMAGE PARTIAL CONTACT,DAMAGED 1 MINIMUM,12,FRONT END (LEFT) DAMAGE PARTIAL CONTACT,DAMAGED 2,12,Y,EULESS B & B WRECKER SERVICE,"1201 W EULESS BLVD., EULESS, TEXAS 76040",HAD BEEN DRINKING,NA,NA,EAST,Y,0,0,0,1,0,0,0
